Model,Time,PromptTokens,CompletionTokens,TotalTokens,EstimatedCost,Attempts,CodeTime,Result,source_file
gpt-4.1,10.78,13847,508,14355,0.032,1,14.58,Success,direct-question-01.md
gpt-5,41.47,13846,2256,16102,0.04,1,18.16,Success,direct-question-01.md
gpt-5-mini,40.57,13846,2232,16078,0.008,1,13.36,Success,direct-question-01.md
gpt-5-nano,49.89,42795,10592,53387,0.006,3,32.23,Success,direct-question-01.md
gpt-4o,11.07,13847,569,14416,0.04,1,10.45,Success,direct-question-01.md
o4-mini,10.78,13846,1246,15092,0.021,1,11.04,Success,direct-question-01.md
gpt-oss-120b,5.61,13907,1174,15081,0.003,1,10.31,Success,direct-question-01.md
gpt-oss-20b,46.98,42735,4449,47184,0.003,3,19.89,Success,direct-question-01.md
Qwen3-Coder-480B,13.99,14173,554,14727,0.029,1,10.68,Success,direct-question-01.md
coder-large,7.63,14194,557,14751,0.008,1,10.32,Success,direct-question-01.md
claude-sonnet-4,17.49,16047,830,16877,0.061,1,9.84,Success,direct-question-01.md
gemini-2.5-flash,7.23,31416,1532,32948,0.013,2,54.61,Success,direct-question-01.md
deepseek-chat-v3-0324,42.0,14254,540,14794,0.004,1,11.27,Success,direct-question-01.md
llama-3.1-8b,44.8,143842,1432,145274,0.002,10,3.75,Failure,direct-question-01.md
llama-3.3-70b,27.34,28575,1018,29593,0.001,2,19.21,Success,direct-question-01.md
llama-4-maverick-400B,11.46,27982,1091,29073,0.005,2,18.65,Success,direct-question-01.md
llama-4-scout-109B,36.44,42532,1656,44188,0.004,3,52.17,Success,direct-question-01.md
gpt-4.1,12.7,13847,605,14452,0.033,1,10.44,Success,direct-question-02.md
gpt-5,51.74,13846,2097,15943,0.038,1,24.64,Success,direct-question-02.md
gpt-5-mini,62.37,28507,4041,32548,0.015,2,19.82,Success,direct-question-02.md
gpt-5-nano,40.59,28236,7272,35508,0.004,2,19.34,Success,direct-question-02.md
gpt-4o,5.84,13847,526,14373,0.04,1,9.69,Success,direct-question-02.md
o4-mini,19.86,13846,1906,15752,0.024,1,10.18,Success,direct-question-02.md
gpt-oss-120b,4.79,13907,1013,14920,0.003,1,10.5,Success,direct-question-02.md
gpt-oss-20b,10.58,13907,1228,15135,0.001,1,10.94,Success,direct-question-02.md
Qwen3-Coder-480B,13.88,14173,557,14730,0.029,1,10.6,Success,direct-question-02.md
coder-large,8.34,14194,638,14832,0.008,1,10.27,Success,direct-question-02.md
claude-sonnet-4,16.76,16046,783,16829,0.06,1,10.42,Success,direct-question-02.md
gemini-2.5-flash,3.32,15144,797,15941,0.007,1,9.85,Success,direct-question-02.md
deepseek-chat-v3-0324,235.03,50009,7909,57918,0.021,3,46.61,Success,direct-question-02.md
llama-3.1-8b,167.37,151004,13608,164612,0.003,10,21.35,Failure,direct-question-02.md
llama-3.3-70b,47.58,57408,2241,59649,0.002,4,37.97,Success,direct-question-02.md
llama-4-maverick-400B,38.03,27888,1033,28921,0.005,2,17.63,Success,direct-question-02.md
llama-4-scout-109B,731.26,157904,37603,195507,0.024,10,81.92,Failure,direct-question-02.md
gpt-4.1,14.35,13853,670,14523,0.033,1,13.51,Success,direct-question-03.md
gpt-5,40.79,13852,2426,16278,0.042,1,43.09,Success,direct-question-03.md
gpt-5-mini,40.16,13852,2474,16326,0.008,1,38.95,Success,direct-question-03.md
gpt-5-nano,62.44,42789,11991,54780,0.007,3,34.77,Success,direct-question-03.md
gpt-4o,7.45,13853,661,14514,0.041,1,11.32,Success,direct-question-03.md
o4-mini,14.64,13852,1307,15159,0.021,1,10.25,Success,direct-question-03.md
gpt-oss-120b,13.36,28917,2300,31217,0.006,2,24.63,Success,direct-question-03.md
gpt-oss-20b,19.86,29082,2593,31675,0.002,2,20.86,Success,direct-question-03.md
Qwen3-Coder-480B,13.15,14179,598,14777,0.03,1,10.33,Success,direct-question-03.md
coder-large,8.25,14200,618,14818,0.008,1,10.44,Success,direct-question-03.md
claude-sonnet-4,23.14,16053,762,16815,0.06,1,10.48,Success,direct-question-03.md
gemini-2.5-flash,8.56,31614,1796,33410,0.014,2,20.47,Success,direct-question-03.md
deepseek-chat-v3-0324,33.5,14259,586,14845,0.005,1,10.42,Success,direct-question-03.md
llama-3.1-8b,20.48,143199,670,143869,0.002,10,1.16,Failure,direct-question-03.md
llama-3.3-70b,38.18,28631,1166,29797,0.001,2,20.5,Success,direct-question-03.md
llama-4-maverick-400B,100.46,143302,6920,150222,0.026,10,284.81,Failure,direct-question-03.md
llama-4-scout-109B,26.48,42186,1780,43966,0.004,3,30.65,Success,direct-question-03.md
gpt-4.1,16.13,13860,770,14630,0.034,1,10.61,Success,direct-question-04.md
gpt-5,58.69,13859,3870,17729,0.056,1,15.0,Success,direct-question-04.md
gpt-5-mini,104.8,43671,6393,50064,0.024,3,30.07,Success,direct-question-04.md
gpt-5-nano,65.67,57774,14056,71830,0.009,4,37.83,Success,direct-question-04.md
gpt-4o,6.01,13860,601,14461,0.041,1,37.16,Success,direct-question-04.md
o4-mini,18.15,13859,1673,15532,0.023,1,11.28,Success,direct-question-04.md
gpt-oss-120b,5.87,13920,1250,15170,0.003,1,10.05,Success,direct-question-04.md
gpt-oss-20b,11.27,13920,1436,15356,0.001,1,10.22,Success,direct-question-04.md
Qwen3-Coder-480B,15.12,14187,592,14779,0.03,1,10.81,Success,direct-question-04.md
coder-large,8.32,14208,632,14840,0.008,1,10.07,Success,direct-question-04.md
claude-sonnet-4,18.86,16061,876,16937,0.061,1,10.5,Success,direct-question-04.md
gemini-2.5-flash,17.97,82053,4140,86193,0.035,5,49.6,Success,direct-question-04.md
deepseek-chat-v3-0324,20.59,14266,589,14855,0.005,1,11.07,Success,direct-question-04.md
llama-3.1-8b,38.31,142971,2034,145005,0.002,10,0.0,Failure,direct-question-04.md
llama-3.3-70b,38.04,43531,1544,45075,0.002,3,76.79,Success,direct-question-04.md
llama-4-maverick-400B,27.28,42676,1955,44631,0.008,3,91.04,Success,direct-question-04.md
llama-4-scout-109B,672.77,171075,37261,208336,0.025,10,80.3,Failure,direct-question-04.md
gpt-4.1,74.51,73998,6538,80536,0.2,5,39.33,Success,direct-question-05.md
gpt-5,157.1,28835,7754,36589,0.114,2,54.68,Success,direct-question-05.md
gpt-5-mini,82.18,29413,5733,35146,0.019,2,55.27,Success,direct-question-05.md
gpt-5-nano,51.81,13872,12089,25961,0.006,1,37.46,Success,direct-question-05.md
gpt-4o,33.64,44620,2779,47399,0.139,3,62.32,Success,direct-question-05.md
o4-mini,83.26,45969,10058,56027,0.095,3,75.93,Success,direct-question-05.md
gpt-oss-120b,19.31,29352,3415,32767,0.006,2,48.51,Success,direct-question-05.md
gpt-oss-20b,70.29,85993,11104,97097,0.007,6,28.45,Success,direct-question-05.md
Qwen3-Coder-480B,25.85,14201,1117,15318,0.031,1,41.3,Success,direct-question-05.md
coder-large,111.57,139496,9222,148718,0.077,9,171.91,Success,direct-question-05.md
claude-sonnet-4,148.51,87651,8701,96352,0.393,5,62.76,Success,direct-question-05.md
gemini-2.5-flash,5.11,15173,1218,16391,0.008,1,39.74,Success,direct-question-05.md
deepseek-chat-v3-0324,339.48,140821,8812,149633,0.047,9,189.66,Success,direct-question-05.md
llama-3.1-8b,96.52,150314,7195,157509,0.002,10,21.83,Failure,direct-question-05.md
llama-3.3-70b,249.98,150525,9143,159668,0.007,10,89.32,Failure,direct-question-05.md
llama-4-maverick-400B,54.0,72490,4936,77426,0.014,5,370.68,Success,direct-question-05.md
llama-4-scout-109B,703.64,178322,42593,220915,0.027,10,323.58,Failure,direct-question-05.md
gpt-4.1,40.9,13884,2331,16215,0.046,1,74.45,Success,direct-question-06.md
gpt-5,119.66,13883,6253,20136,0.08,1,73.96,Success,direct-question-06.md
gpt-5-mini,277.49,63285,18135,81420,0.052,4,87.95,Success,direct-question-06.md
gpt-5-nano,276.26,171828,60759,232587,0.033,10,83.35,Failure,direct-question-06.md
gpt-4o,153.51,153861,17193,171054,0.557,10,208.33,Failure,direct-question-06.md
o4-mini,124.71,62933,15268,78201,0.136,4,88.29,Success,direct-question-06.md
